Region,Shortlist,Role,Company,Tier,Tier Score,Location,Salary Band,Employment Type,Date Posted,Job URL,Job Description,Vertical
South,,Human Resources Generalist,Goodwill Southwest Florida,B,87,"Richmond, VA","$80,000 - $100,000 USD (annual)",Full-time,2026-09-03,https://www.linkedin.com/jobs/view/human-resources-generalist-at-goodwill-southwest-florida-4463697682,"A Little About Us Since 1985, Kinsley Steel has been delivering unmatched quality steel on time and on budget. Our certified and highly-skilled teams specialize in structural steel design, engineering, detailing, fabrication, erection and retrofit to existing structural members. Position Overview The HR Generalist will proactively promote positive and supportive partnerships, delivering a high level of quality customer service; providing consultation, advice, guidance, policy and procedure inte…",human_resources
South,,Business Analyst,Tata Consultancy Services,B,86,"Farmers Branch, TX","$100,000 - $120,000 USD (annual)",Full-time,2026-09-02,https://www.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-4451918207,"Job Description Skill: Business System Analyst Roles & Responsibilities Business Analysis & Requirements Management Elicit, analyze, validate, and document business requirements from stakeholders. Create and maintain comprehensive Business Requirement Documents (BRDs) and Functional Requirement Specifications (FRS). Translate business requirements into detailed technical requirements for development teams. Conduct requirement walkthroughs and obtain stakeholder approval. Perform gap analysis an…",data_analytics
South,,IT Support Technician,SC&H India,B,78,"Hunt Valley, MD","$60,000 - $75,000 USD (annual)",Full-time,2026-09-04,https://www.linkedin.com/jobs/view/it-support-technician-at-sc-h-india-4463376188,"SC&H offers you an opportunity to leverage your IT Helpdesk experience and to broaden your business skills in a rewarding and challenging environment. Work with other talented technology professionals in supporting our employees' technology needs, concerns, and issues, allowing them to meet their business objectives. We are currently searching for a talented IT Support Technician to join our team in Hunt Valley, MD. Work You'll Do Provide responsive end user support for hardware, software, acce…",it_support
South,,Talent Acquisition Coordinator,NorthStar Memorial Group,B,76,"Houston, TX",$22 - $27 USD /hr,Full-time,2026-09-02,https://www.linkedin.com/jobs/view/talent-acquisition-coordinator-at-northstar-memorial-group-4460068524,"NorthStar Memorial Group’s open-door culture means your voice is heard, your ideas matter, and your work directly supports how we grow. As a Talent Acquisition Coordinator, you will be an essential partner to a high-performing Talent Acquisition team supporting more than 86 locations across 12 states. This role is based in Houston, TX. The Talent Acquisition Coordinator plays an integral role on a dynamic recruiting team focused on attracting quality candidates and strengthening NorthStar’s emp…",human_resources
South,,Data Analyst,ClearpointCo,B,75,"Houston, TX","$70,000 - $80,000 USD (annual)",Full-time,2026-08-31,https://www.linkedin.com/jobs/view/data-analyst-at-clearpointco-4460067595,"*******LOCAL HOUSTON CANDIDATES****** NO THIRDS PLEASE****** Data Analyst Location: Houston, TX (Park 10 / Energy Corridor) Employment Type: Full-Time, Direct Hire Compensation: $70,000 - $80,000 Base Salary + Comprehensive Benefits Package Schedule: On-Site (5 Days per Week) with Flexible Start and End Times One of my long-term, stable clients is seeking a Data Analyst with preferably 2-5 years of experience to join their growing team. This is an excellent opportunity for someone who enjoys wo…",data_analytics
South,,UX Designer,Evlo AI,B,70,"Washington, DC",Not listed,Full-time,2026-09-07,https://www.linkedin.com/jobs/view/ux-designer-at-evlo-ai-4462958964,"About The Role The UX Designer will shape end-to-end experiences for web and platform products used by customers to manage complex workflows, data, and integrations. The role spans discovery, interaction design, prototyping, usability testing, and production handoff, with a strong focus on making technical products clear and efficient for real users. The designer will partner with product managers, engineers, UX researchers, and content designers to turn ambiguous problems into tested product e…",ux_design
South,,Human Resources Assistant,El Chilar HF,B,70,"Orlando, FL",Not listed,Full-time,2026-09-07,https://www.linkedin.com/jobs/view/human-resources-assistant-at-el-chilar-hf-4464359169,"Company Description El Chilar HF, part of El Chilar Spices, is a growing organization dedicated to bringing Mexico’s culinary excellence to tables across diverse markets. The company is powered by a team of over 200 driven professionals who share a commitment to quality, innovation, and continuous improvement. El Chilar HF has expanded into new markets while consistently elevating its standards in manufacturing and distribution. Success is driven not only by the quality of its products but also…",human_resources
South,,Human Resources Coordinator,Kanner & Pintaluga,B,69,"Boca Raton, FL",Not listed,Full-time,2026-09-05,https://www.linkedin.com/jobs/view/human-resources-coordinator-at-kanner-pintaluga-4463702795,"Kanner & Pintaluga, a dynamic and rapidly growing personal injury and property damage law firm, seeks a highly motivated and passionate HR Coordinator to join our team in Boca Raton, Florida. Position Summary The HR Coordinator provides quality HR compliance and administrative support to the HR team and clients. Coordinators are responsible for the day-to-day HR functions and recruiting efforts for the various available positions throughout the firm. Coordinators also deliver assistance and adm…",human_resources
South,,Human Resources Generalist,"Kinsley Steel, Inc.",B,69,"Richmond, VA",Not listed,Full-time,2026-09-06,https://www.linkedin.com/jobs/view/human-resources-generalist-at-kinsley-steel-inc-4464046208,"A Little About Us Since 1985, Kinsley Steel has been delivering unmatched quality steel on time and on budget. Our certified and highly-skilled teams specialize in structural steel design, engineering, detailing, fabrication, erection and retrofit to existing structural members. Position Overview The HR Generalist will proactively promote positive and supportive partnerships, delivering a high level of quality customer service; providing consultation, advice, guidance, policy and procedure inte…",human_resources
South,,IT Help Desk Technician- Tier 1,Oklahoma Farm Bureau Insurance,B,68,"Oklahoma City, OK",Not listed,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/it-help-desk-technician-tier-1-at-oklahoma-farm-bureau-insurance-4463172466,"Job Type: Full-time THIS IS NOT A REMOTE POSITION* Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Flexible spending account Health insurance Life insurance Paid time off Professional development assistance Vision insurance Primary Purpose: Plans, coordinates, and implements various Help Desk activities and functions by performing the following duties. Essential Duties And Responsibilities Set up computers. Prepares system build checklists and del…",it_support
